流水號,料號,長度,管徑
1,1,1018,0.75
1,2,4812,0.75
1,3,3587,0.75
1,4,2079,0.75
1,5,5441,0.75
1,6,262,0.75
1,7,426,0.75
1,8,458,0.75
1,9,182,0.75
2,1,818,0.75
2,2,3162,0.75
2,3,6000,0.75
2,4,2371,0.75
2,5,2079,0.75
2,6,5641,0.75
2,7,262,0.75
2,8,426,0.75
2,9,453,0.75
2,10,182,0.75
3,1,180,0.5
3,2,113,0.5
3,3,367,0.5
3,4,100,0.5
3,5,146,0.5
3,6,268,0.5
3,7,5397,0.5
3,8,2088,0.5
3,9,3587,0.5
4,10,4418,0.5
4,11,1712,0.5
4,12,951,0.5
4,13,331,0.5
4,14,75,0.5
4,15,133,0.5
4,16,106,0.5
4,17,100,0.5
4,18,100,0.5
5,1,180,0.5
5,2,113,0.5
5,3,361,0.5
5,4,100,0.5
5,5,153,0.5
5,6,268,0.5
5,7,5597,0.5
5,8,2088,0.5
5,9,6000,0.5
5,10,2378,0.5
6,11,2768,0.5
6,12,1511,0.5
6,13,951,0.5
6,14,331,0.5
6,15,75,0.5
6,16,133,0.5
6,17,106,0.5
6,18,100,0.5
6,19,100,0.5
7,1,205,0.5
7,2,259,0.5
7,3,168,0.5
7,4,168,0.5
7,5,2295,0.5
7,6,918,0.5
7,7,1468,0.5
7,8,2828,0.5
7,9,718,0.5
8,10,1108,0.5
8,11,2468,0.5
8,12,6000,0.5
8,13,6000,0.5
8,14,3644,0.5
8,15,100,0.5
8,16,718,0.5
9,17,268,0.5
9,18,3028,0.5
9,19,2318,0.5
9,20,6000,0.5
9,21,1558,0.5
10,22,118,0.5
10,23,733,0.5
10,24,2469,0.5
10,25,118,0.5
10,26,733,0.5
10,27,2469,0.5
11,28,118,0.5
11,29,733,0.5
11,30,2469,0.5
11,31,118,0.5
11,32,733,0.5
11,33,1129,0.5
12,1,600,1.5
13,1,600,2
14,1,600,1
15,1,600,0.5
16,1,403,0.5
16,2,189,0.5
17,1,126,1
17,2,245,1
17,3,715,1
18,1,182,0.5
18,2,275,0.5
18,3,168,0.5
18,4,468,0.5
18,5,6000,0.5
18,6,3023,0.5
18,7,668,0.5
18,8,100,0.5
18,9,2189,0.5
19,10,6000,0.5
19,11,6000,0.5
19,12,6000,0.5
19,13,6000,0.5
19,14,228,0.5
19,15,2018,0.5
19,16,6000,0.5
19,17,2288,0.5
19,18,6000,0.5
20,19,873,0.5
20,20,748,0.5
20,21,2218,0.5
20,22,3033,0.5
20,23,718,0.5
20,24,933,0.5
21,25,776,0.5
21,26,2969,0.5
21,27,776,0.5
21,28,6000,0.5
21,29,859,0.5
22,30,776,0.5
22,31,2969,0.5
22,32,776,0.5
22,33,1969,0.5
22,34,776,0.5
22,35,2969,0.5
22,36,776,0.5
22,37,959,0.5
23,1,600,1.5
24,1,600,2
25,1,600,1
26,1,600,0.5
27,1,100,0.5
27,2,390,0.5
27,3,323,0.5
28,1,176,1
28,2,200,1
28,3,697,1
29,1,152,0.5
29,2,126,0.5
29,3,168,0.5
29,4,168,0.5
29,5,2168,0.5
29,6,733,0.5
29,7,718,0.5
29,8,6000,0.5
29,9,408,0.5
30,10,1918,0.5
30,11,1619,0.5
30,12,100,0.5
30,13,6000,0.5
30,14,2808,0.5
30,15,1918,0.5
31,16,6000,0.5
31,17,6000,0.5
31,18,4099,0.5
31,19,6000,0.5
32,20,6000,0.5
32,21,3613,0.5
32,22,718,0.5
32,23,6000,0.5
32,24,5893,0.5
32,25,776,0.5
33,26,2119,0.5
33,27,776,0.5
33,28,3819,0.5
33,29,776,0.5
33,30,3069,0.5
34,31,776,0.5
34,32,2619,0.5
34,33,776,0.5
34,34,2219,0.5
34,35,776,0.5
34,36,3969,0.5
35,37,776,0.5
35,38,1969,0.5
35,39,776,0.5
35,40,3969,0.5
35,41,776,0.5
35,42,1969,0.5
35,43,776,0.5
35,44,379,0.5
36,1,600,1.5
37,1,600,2
38,1,600,1
39,1,600,0.5
40,1,691,0.5
40,2,489,0.5
40,3,206,0.5
41,1,163,1
41,2,100,1
41,3,1206,1
42,1,100,1
42,2,265,6
42,3,100,1.5
42,4,350,6
42,5,1922,6
42,6,948,6
42,7,5440,6
43,8,392,6
43,9,5693,6
43,10,872,6
43,11,1792,6
43,12,752,6
44,13,100,0.75
44,14,6000,6
44,15,2332,6
44,16,292,6
44,17,6000,6
44,18,6000,6
44,19,6000,6
44,20,1418,6
45,21,378,6
45,22,702,6
45,23,4542,6
45,24,6000,6
45,25,228,6
45,26,1492,6
46,27,100,1.5
46,28,742,6
47,29,100,0.75
47,30,6000,6
47,31,6000,6
47,32,242,6
47,33,1492,6
47,34,6000,6
47,35,6000,6
47,36,4678,6
48,37,378,6
48,38,702,6
48,39,4542,6
48,40,6000,6
48,41,678,6
48,42,742,6
48,43,5117,6
49,44,100,1.5
49,45,742,6
50,46,378,6
50,47,6000,6
50,48,6000,6
50,49,1628,6
50,50,100,0.75
50,51,6000,6
51,52,378,6
51,53,3173,6
51,54,446,6
51,55,6000,6
51,56,2536,6
51,57,6000,6
52,58,6000,6
52,59,3693,6
52,60,6000,6
52,61,6000,6
52,62,723,6
52,63,6000,6
52,64,462,6
53,65,378,6
53,66,6000,6
53,67,6000,6
53,68,6000,6
53,69,100,0.75
53,70,2502,6
54,71,6000,6
54,72,792,6
54,73,987,6
54,74,100,1.5
54,75,542,6
55,76,6000,6
55,77,6000,6
55,78,3631,6
55,79,1578,6
55,80,6000,6
55,81,6000,6
55,82,6000,6
55,83,6000,6
55,84,2828,6
55,85,1492,6
56,86,6000,6
56,87,100,0.75
56,88,5242,6
56,89,1492,6
56,90,1778,6
57,91,378,6
57,92,802,6
57,93,4962,6
57,94,3986,6
