流水號,料號,長度,管徑
1,1,404,6
1,2,867,6
1,3,492,6
1,4,817,6
1,5,1042,6
`1-1,6,6000,6
`1-1,7,6000,6
`1-1,8,100,1
`1-1,9,882,6
2,1,100,1
2,2,100,0.75
2,3,6000,3
2,4,100,0.75
2,5,6000,3
`2-1,6,910,3
`2-1,7,1322,3
`2-1,8,972,3
`2-1,9,1128,3
`2-1,10,314,3
`2-1,11,1542,3
`2-1,12,88,3
3,1,6000,3
3,2,1822,3
3,3,3972,3
3,4,1572,3
3,5,3830,3
4,6,2022,3
4,7,1178,3
4,8,983,3
4,9,152,3
5,1,544,8
5,2,344,8
6,1,450,6
6,2,1314,6
6,3,1314,6
6,4,1151,4
6,5,100,1
6,6,300,6
7,7,440,6
7,8,1808,6
7,9,616,6
7,10,499,6
7,11,920,6
7,12,100,1
7,13,2714,6
7,14,500,6
8,15,616,6
8,16,499,6
8,17,920,6
8,18,100,1
8,19,2888,6
9,1,793,6
9,2,980,6
9,3,100,1
9,4,300,6
9,5,2714,6
10,6,980,6
10,7,100,1
10,8,300,6
10,9,3214,6
10,10,980,6
11,11,770,6
11,12,528,6
11,13,6000,6
11,14,6000,6
11,15,892,6
11,16,5292,6
11,17,302,6
11,18,1932,6
11,19,176,1
12,20,100,1
12,21,4862,6
12,22,292,6
12,23,6000,6
12,24,1282,6
12,25,2042,6
12,26,6000,6
12,27,6000,6
13,28,122,1
13,29,5938,6
13,30,378,6
13,31,6000,6
13,32,301,6
13,33,700,6
`13-1,34,6000,6
`13-1,35,6000,6
`13-1,36,1770,6
`13-1,37,742,6
`13-1,38,6000,6
`13-1,39,6000,6
`13-1,40,4362,6
14,1,100,1
14,2,225,6
14,3,381,2.5
15,1,100,1
15,2,225,6
15,3,381,2.5
16,1,217,1
16,2,100,1
16,3,100,1
16,4,191,4
16,5,200,4
16,6,1689,4
17,7,100,1
17,8,100,1
17,9,143,1
18,1,217,1
18,2,100,1
18,3,100,1
18,4,191,4
18,5,200,4
18,6,1689,4
19,7,100,1
19,8,100,1
19,9,143,1
20,1,2976,3
20,2,1099,3
20,3,401,3
20,4,100,0.75
20,5,357,2
21,6,100,2
21,7,401,3
21,8,409,2
21,9,361,3
21,10,522,3
21,11,1498,3
22,1,600,6
22,2,378,6
22,3,3163,6
22,4,4478,6
22,5,6000,6
22,6,6000,6
22,7,742,6
22,8,4792,6
22,9,6000,6
22,10,6000,6
23,11,122,1
23,12,6000,6
23,13,6000,6
